[2018-11-06 16:33:55] [] [failed] [User text... turn fucking lights]
[2018-11-06 16:33:55] [Turn on / off lights] [success] [User text... turn on fucking lights]
[2018-11-06 16:33:55] [Turn on / off lights] [failed] [User text... turn on fucking lights]
[2018-11-06 16:33:55] [Turn on / off lights] [success] [User text... turn off fucking lights]
[2018-11-06 16:33:55] [] [failed] [User text... turn fucking lights]
[2018-11-21 16:50:54] [best command] [success] [do smt mazafaka]
[2018-11-21 16:53:52] [best command] [success] [do smt mazafaka]
[2018-11-21 16:54:03] [best command 2] [success] [do smt mazafaka]
[2018-11-27 17:03:34] [up up music up give mute give give give give shots] [success] [Sorry, try again!]
[2018-11-27 19:06:03] [SHOW] [success] [Sorry, try again!]
[2018-11-27 19:06:10] [OPEN OPEN HISTORY BRIGHTNESS SHOW] [success] [Sorry, try again!]
[2018-11-27 19:06:14] [HISTORY] [success] [Close your eyes, please! This is not public info.]
[2018-11-27 19:06:33] [CLOSE JOKE OPEN OPEN SHOW CLOSE SHOW IS BRIGHTNESS OPEN OPEN BROWSER WHO IS DECREASE DECREASE] [success] [Sorry, try again!]
[2018-11-27 19:06:36] [IS ON] [success] [Sorry, try again!]
[2018-11-27 19:06:43] [CLOSE] [success] [Sorry, try again!]
[2018-11-27 19:06:48] [CONNECTED] [success] [Sorry, try again!]
[2018-11-27 19:06:55] [OPEN TURN SEND WEB SET ALARM SHOW] [success] [Sorry, try again!]
[2018-11-27 19:07:05] [SHOW HISTORY WHO IS SHOW IS IS OPEN] [success] [Sorry, try again!]
[2018-11-27 19:07:12] [INCREASE MUSIC TURN ON OPEN SET SHOW HISTORY VOLUME] [success] [Sorry, try again!]
[2018-11-27 19:07:18] [SHOW CLOSE OPEN] [success] [Sorry, try again!]
[2018-11-27 19:07:29] [WHO IS TURN ON LIGHTS OPEN SEARCH OPEN BROWSER HISTORY SHOW SHOW JOKE] [success] [Sorry, try again!]
[2018-11-27 19:07:37] [OPEN BRIGHTNESS WHO IS] [success] [Sorry, try again!]
[2018-11-27 19:07:45] [TRAFFIC] [success] [Sorry, try again!]
[2018-11-27 19:07:48] [CHECK OPEN] [success] [Sorry, try again!]
[2018-11-27 19:07:51] [OPEN] [success] [Sorry, try again!]
[2018-11-27 19:07:55] [OPEN] [success] [Sorry, try again!]
[2018-11-27 19:08:01] [CHECK TRAFFIC] [success] [Traffic jams in your city.]
[2018-11-27 19:08:08] [SHOW OPEN OPEN WHO] [success] [Sorry, try again!]
[2018-11-27 19:08:12] [CLOSE OPEN OPEN SHOW] [success] [Sorry, try again!]
[2018-11-27 19:08:17] [OPEN IS OPEN CHECK WEB] [success] [Sorry, try again!]
[2018-11-27 19:08:24] [WHO IS CONNECTED VOLUME] [success] [Sorry, try again!]
[2018-11-27 19:08:35] [OPEN] [success] [Sorry, try again!]
[2018-11-27 19:08:42] [SEND IS ALARM WHO IS SHOW] [success] [Sorry, try again!]
[2018-11-27 19:08:44] [OPEN] [success] [Sorry, try again!]
[2018-11-27 19:08:49] [TURN ON] [success] [Sorry, try again!]
[2018-11-27 19:08:54] [SET] [success] [Sorry, try again!]
[2018-11-27 19:08:57] [OPEN] [success] [Sorry, try again!]
[2018-11-27 19:09:01] [WEATHER] [success] [Sorry, try again!]
[2018-11-27 19:09:06] [JOKE OPEN] [success] [Sorry, try again!]
[2018-11-27 19:09:13] [CHECK TRAFFIC] [success] [Traffic jams in your city.]
[2018-11-27 19:09:17] [JOKE] [success] [Sorry, try again!]
[2018-11-27 19:09:22] [SET IS IS] [success] [Sorry, try again!]
[2018-11-27 19:09:25] [CONNECTED] [success] [Sorry, try again!]
[2018-11-27 19:09:28] [OPEN] [success] [Sorry, try again!]
[2018-11-27 19:09:33] [CLOSE IS] [success] [Sorry, try again!]
[2018-11-27 19:09:38] [JOKE] [success] [Sorry, try again!]
[2018-11-27 19:09:46] [OPEN SHOW CHECK OPEN] [success] [Sorry, try again!]
[2018-11-27 19:09:52] [SHOW TURN ON] [success] [Sorry, try again!]
[2018-11-27 19:09:56] [OPEN WEB] [success] [Sorry, try again!]
[2018-11-27 19:10:02] [SHOW] [success] [Sorry, try again!]
[2018-11-27 19:10:15] [SHOW] [success] [Sorry, try again!]
[2018-11-27 19:10:18] [WHERE] [success] [Sorry, try again!]
[2018-11-27 19:10:22] [WHO IS] [success] [Sorry, try again!]
[2018-11-27 19:10:29] [CHECK IS MUSIC TURN] [success] [Sorry, try again!]
[2018-11-27 19:10:32] [PLAY] [success] [Sorry, try again!]
[2018-11-27 19:10:37] [OPEN IS INCREASE BRIGHTNESS] [success] [Sorry, try again!]
[2018-11-27 19:10:42] [OPEN] [success] [Sorry, try again!]
[2018-11-27 19:10:48] [OPEN CLOSE] [success] [Sorry, try again!]
[2018-11-27 19:10:51] [BROWSER] [success] [Sorry, try again!]
[2018-11-27 19:10:57] [OPEN WHERE IS] [success] [Sorry, try again!]
[2018-11-27 19:11:00] [WHERE IS] [success] [Sorry, try again!]
[2018-11-27 19:11:06] [WHERE SET] [success] [Sorry, try again!]
[2018-11-27 19:11:12] [WHO IS] [success] [Sorry, try again!]
[2018-11-27 19:11:18] [WHERE IS CONNECTED] [success] [You are now connected at that place.
]
[2018-11-27 19:11:25] [OPEN] [success] [Sorry, try again!]
[2018-11-27 19:11:30] [WHO IS] [success] [Sorry, try again!]
[2018-11-27 19:11:34] [WHO IS] [success] [Sorry, try again!]
[2018-11-27 19:11:37] [SHOW] [success] [Sorry, try again!]
[2018-11-27 19:11:42] [OPEN] [success] [Sorry, try again!]
[2018-11-27 19:11:48] [WHERE] [success] [Sorry, try again!]
[2018-11-27 19:11:53] [OPEN] [success] [Sorry, try again!]
[2018-11-27 19:11:58] [SET SHOW ON ALARM] [success] [Sorry, try again!]
[2018-11-27 19:12:04] [BRIGHTNESS WHO IS] [success] [Sorry, try again!]
[2018-11-27 19:12:11] [BRIGHTNESS INCREASE WHO SHOW WHO IS CONNECTED] [success] [Sorry, try again!]
[2018-11-27 19:12:18] [BRIGHTNESS INCREASE] [success] [More light for you <3.]
[2018-11-27 19:12:22] [SET] [success] [Sorry, try again!]
[2018-11-27 19:12:25] [IS] [success] [Sorry, try again!]
[2018-11-27 19:12:29] [OPEN] [success] [Sorry, try again!]
[2018-11-27 19:12:34] [OPEN] [success] [Sorry, try again!]
[2018-11-27 19:12:40] [TURN DECREASE WHO] [success] [Sorry, try again!]
[2018-11-27 19:12:46] [OPEN BRIGHTNESS DECREASE] [success] [Sorry, try again!]
[2018-11-27 19:12:52] [SEND LIGHTS] [success] [Sorry, try again!]
[2018-11-27 19:12:58] [WHO IS SEARCH BRIGHTNESS WHO] [success] [Sorry, try again!]
[2018-11-27 19:13:08] [BRIGHTNESS DECREASE] [success] [Less light for you.]
[2018-11-27 19:13:17] [WHERE WHO IS OPEN OPEN OPEN OPEN BRIGHTNESS CHECK WEATHER] [success] [Sorry, try again!]
[2018-11-27 19:13:21] [CLOSE] [success] [Sorry, try again!]
[2018-11-27 19:13:25] [OPEN EVENTS SHOW] [success] [Sorry, try again!]
[2018-11-27 19:13:34] [MUSIC EVENTS IS SET] [success] [Sorry, try again!]
[2018-11-27 19:13:39] [OPEN WEB OPEN IS] [success] [Sorry, try again!]
[2018-11-27 19:13:44] [OPEN SHOW] [success] [Sorry, try again!]
[2018-11-27 19:13:47] [OPEN WHO] [success] [Sorry, try again!]
[2018-11-27 19:13:51] [SHOW WHERE IS] [success] [Sorry, try again!]
[2018-11-27 19:13:56] [SET BRIGHTNESS] [success] [Sorry, try again!]
[2018-11-27 19:13:59] [OPEN] [success] [Sorry, try again!]
[2018-11-27 19:14:04] [SHOW ON OPEN WHO IS] [success] [Sorry, try again!]
[2018-11-27 19:14:11] [OPEN OPEN BRIGHTNESS ALARM] [success] [Sorry, try again!]
[2018-11-27 19:14:16] [TURN ON LIGHTS] [success] [Sorry, try again!]
[2018-11-27 19:14:21] [OPEN SEND] [success] [Sorry, try again!]
[2018-11-27 19:14:26] [TURN ON] [success] [Sorry, try again!]
[2018-11-27 19:14:30] [WHERE ON LIGHTS SET ALARM] [success] [Sorry, try again!]
[2018-11-27 19:14:39] [SHOW SHOW ON LIGHTS OPEN SET ALARM WEATHER SHOW VOLUME IS OPEN CLOSE EMAIL INCREASE] [success] [Sorry, try again!]
[2018-11-27 19:14:43] [OPEN EMAIL] [success] [Sorry, try again!]
[2018-11-27 19:14:47] [ALARM] [success] [Sorry, try again!]
[2018-11-27 19:14:58] [SET] [success] [Sorry, try again!]
[2018-11-27 19:15:02] [OPEN] [success] [Sorry, try again!]
[2018-11-27 19:15:06] [SEND EMAIL] [success] [In theory this should work properly. But...]
[2018-11-27 19:15:16] [WHERE IS] [success] [Sorry, try again!]
[2018-11-27 19:15:26] [CHECK CLOSE BROWSER SET ALARM SET WHO IS CONNECTED PLAY DECREASE SET OPEN OPEN] [success] [Sorry, try again!]
[2018-11-27 19:15:29] [ON LIGHTS] [success] [Sorry, try again!]
[2018-11-27 19:15:36] [CHECK WEATHER IS CONNECTED WHO CONNECTED ON IS] [success] [Sorry, try again!]
[2018-11-27 19:15:41] [IS CONNECTED SHOW MUSIC ON] [success] [Sorry, try again!]
[2018-11-27 19:15:45] [IS ON LIGHTS OPEN] [success] [Sorry, try again!]
[2018-11-27 19:15:57] [OPEN CLOSE OPEN WHO IS CONNECTED ON OPEN OPEN WHO IS SET ALARM WHO IS CONNECTED PLAY WHO IS OPEN DECREASE] [success] [Sorry, try again!]
[2018-11-27 19:16:05] [CLOSE EVENTS PLAY OPEN ON OPEN SHOW VOLUME SET SEND OPEN WHO] [success] [Sorry, try again!]
[2018-11-27 19:16:09] [SET EVENTS] [success] [Sorry, try again!]
[2018-11-27 19:16:12] [IS CONNECTED WHO] [success] [Sorry, try again!]
[2018-11-27 19:16:18] [] [success] [Sorry, try again!]
[2018-11-27 19:40:39] [ATHER] [success] [Sorry, try again!]
[2018-11-27 19:40:44] [CHECK WEATHER] [success] [Current weather forecast in your country.]
[2018-11-27 19:41:03] [CHECK WEATHER] [success] [Current weather forecast in your country.]
[2018-11-27 19:41:17] [CHECK WEATHER] [success] [Current weather forecast in your country.]
[2018-11-27 19:41:23] [CHECK HISTORY] [success] [Close your eyes, please! This is not public info.]
[2018-11-27 19:41:49] [CHECK WEATHER] [success] [Current weather forecast in your country.]
